300	7.49E+11
300.5	8.59E+11
301	9.63E+11
301.5	1.01E+12
302	1.04E+12
302.5	1.07E+12
303	1.09E+12
303.5	1.06E+12
304	1.03E+12
304.5	9.93E+11
305	1.01E+12
305.5	1.04E+12
306	1.08E+12
306.5	1.15E+12
307	1.23E+12
307.5	1.31E+12
308	1.39E+12
308.5	1.52E+12
309	1.69E+12
309.5	1.92E+12
310	2.31E+12
310.5	3.02E+12
311	4.16E+12
311.5	5.55E+12
312	6.91E+12
312.5	7.99E+12
313	8.69E+12
313.5	9.08E+12
314	8.91E+12
314.5	8.29E+12
315	7.42E+12
315.5	6.79E+12
316	6.42E+12
316.5	6.37E+12
317	6.51E+12
317.5	6.90E+12
318	7.49E+12
318.5	8.14E+12
319	8.86E+12
319.5	9.64E+12
320	1.04E+13
320.5	1.14E+13
321	1.23E+13
321.5	1.33E+13
322	1.44E+13
322.5	1.56E+13
323	1.67E+13
323.5	1.80E+13
324	1.93E+13
324.5	2.07E+13
325	2.21E+13
325.5	2.36E+13
326	2.51E+13
326.5	2.67E+13
327	2.86E+13
327.5	3.04E+13
328	3.23E+13
328.5	3.44E+13
329	3.66E+13
329.5	3.89E+13
330	4.10E+13
330.5	4.32E+13
331	4.54E+13
331.5	4.78E+13
332	5.04E+13
332.5	5.31E+13
333	5.58E+13
333.5	5.86E+13
334	6.13E+13
334.5	6.41E+13
335	6.71E+13
335.5	7.02E+13
336	7.30E+13
336.5	7.58E+13
337	7.87E+13
337.5	8.08E+13
338	8.37E+13
338.5	8.65E+13
339	8.94E+13
339.5	9.22E+13
340	9.51E+13
340.5	9.80E+13
341	1.01E+14
341.5	1.04E+14
342	1.06E+14
342.5	1.09E+14
343	1.11E+14
343.5	1.14E+14
344	1.16E+14
344.5	1.19E+14
345	1.22E+14
345.5	1.25E+14
346	1.27E+14
346.5	1.30E+14
347	1.31E+14
347.5	1.33E+14
348	1.34E+14
348.5	1.36E+14
349	1.38E+14
349.5	1.39E+14
350	1.40E+14
350.5	1.41E+14
351	1.42E+14
351.5	1.43E+14
352	1.43E+14
352.5	1.44E+14
353	1.44E+14
353.5	1.44E+14
354	1.45E+14
354.5	1.44E+14
355	1.44E+14
355.5	1.42E+14
356	1.40E+14
356.5	1.39E+14
357	1.39E+14
357.5	1.38E+14
358	1.38E+14
358.5	1.37E+14
359	1.36E+14
359.5	1.35E+14
360	1.34E+14
360.5	1.33E+14
361	1.31E+14
361.5	1.29E+14
362	1.27E+14
362.5	1.25E+14
363	1.25E+14
363.5	1.27E+14
364	1.29E+14
364.5	1.31E+14
365	1.31E+14
365.5	1.31E+14
366	1.28E+14
366.5	1.24E+14
367	1.17E+14
367.5	1.09E+14
368	1.04E+14
368.5	9.86E+13
369	9.50E+13
369.5	9.22E+13
370	9.01E+13
370.5	8.87E+13
371	8.59E+13
371.5	8.37E+13
372	8.08E+13
372.5	7.80E+13
373	7.51E+13
373.5	7.31E+13
374	7.10E+13
374.5	6.89E+13
375	6.66E+13
375.5	6.42E+13
376	6.20E+13
376.5	6.00E+13
377	5.79E+13
377.5	5.57E+13
